Team,Year,Season,Medal Count
Belgium-1,1924,Winter,5
Bem II,1936,Summer,2
Bera,1924,Summer,5
Berliner Ruderclub,1908,Summer,2
Berliner Ruderverein von 1876-2,1912,Summer,9
Bermuda,1976,Summer,1
Bingo,1964,Summer,3
Bissbi,1932,Summer,4
Bluebottle,1956,Summer,3
Bohemia,1900,Summer,2
Bohemia,1906,Summer,3
Bohemia,1908,Summer,6
Bohemia/Great Britain,1900,Summer,2
Bona Fide,1900,Summer,3
Bonaparte,2008,Summer,1
Bonzo,1924,Summer,3
Boreas-2,1920,Summer,2
Boston Archers,1904,Summer,4
Botswana,2012,Summer,1
Brazil,1920,Summer,7
Brazil,1948,Summer,10
Brazil,1952,Summer,3
Brazil,1956,Summer,1
Brazil,1960,Summer,13
Brazil,1964,Summer,12
Brazil,1968,Summer,4
Brazil,1972,Summer,2
Brazil,1976,Summer,3
Brazil,1980,Summer,9
Brazil,1984,Summer,36
Brazil,1988,Summer,23
Brazil,1992,Summer,14
Brazil,1996,Summer,59
Brazil,2000,Summer,42
Brazil,2004,Summer,36
Brazil,2008,Summer,74
Brazil,2012,Summer,55
Brazil,2016,Summer,46
Brazil-1,1996,Summer,2
Brazil-1,2000,Summer,4
Brazil-1,2004,Summer,4
Brazil-1,2008,Summer,2
Brazil-1,2012,Summer,4
Brazil-1,2016,Summer,4
Brazil-2,1996,Summer,2
Brazil-2,2000,Summer,2
Brazil-2,2008,Summer,2
Brussels Swimming and Water Polo Club,1900,Summer,10
Brynhild-2,1900,Summer,1
Bucintoro Venezia,1906,Summer,8
Bucintoro Venezia-1,1906,Summer,3
Bulgaria,1952,Summer,1
Bulgaria,1956,Summer,18
Bulgaria,1960,Summer,7
Bulgaria,1964,Summer,10
Bulgaria,1968,Summer,26
Bulgaria,1972,Summer,22
Bulgaria,1976,Summer,39
Bulgaria,1980,Summer,90
Bulgaria,1980,Winter,1
Bulgaria,1988,Summer,41
Bulgaria,1992,Summer,17
Bulgaria,1996,Summer,21
Bulgaria,1998,Winter,1
Bulgaria,2000,Summer,13
Bulgaria,2002,Winter,3
Bulgaria,2004,Summer,17
Bulgaria,2006,Winter,1
Bulgaria,2008,Summer,5
Bulgaria,2012,Summer,2
Bulgaria,2016,Summer,7
Buraddoo,1956,Summer,3
Burundi,1996,Summer,1
Burundi,2016,Summer,1
Cambridge University Boat Club-2,1908,Summer,9
Cameroon,1968,Summer,1
Cameroon,1984,Summer,1
Cameroon,2000,Summer,18
Cameroon,2004,Summer,1
Cameroon,2008,Summer,1
Camille,1908,Summer,1
Canada,1900,Summer,2
Canada,1904,Summer,2
Canada,1906,Summer,2
Canada,1908,Summer,37
Canada,1912,Summer,8
Canada,1920,Summer,16
Canada,1924,Summer,20
Canada,1924,Winter,9
Canada,1928,Summer,33
Canada,1928,Winter,12
Canada,1932,Summer,29
Canada,1932,Winter,20
Canada,1936,Summer,22
Canada,1936,Winter,13
Canada,1948,Summer,7
Canada,1948,Winter,15
Canada,1952,Summer,4
Canada,1952,Winter,17
Canada,1956,Summer,19
Canada,1956,Winter,18
Canada,1960,Summer,9
Canada,1960,Winter,19
Canada,1964,Summer,5
Canada,1964,Winter,1
Canada,1968,Summer,10
Canada,1968,Winter,20
Canada,1972,Summer,11
Canada,1972,Winter,1
Canada,1976,Summer,23
Canada,1976,Winter,3
Canada,1980,Winter,2
Canada,1984,Summer,87
Canada,1984,Winter,4
Canada,1988,Summer,23
Canada,1988,Winter,4
Canada,1992,Summer,44
Canada,1992,Winter,34
Canada,1994,Winter,35
Canada,1996,Summer,48
Canada,1998,Winter,47
Canada,2000,Summer,31
Canada,2002,Winter,72
Canada,2004,Summer,17
Canada,2006,Winter,67
Canada,2008,Summer,35
Canada,2010,Winter,80
Canada,2012,Summer,55
Canada,2014,Winter,82
Canada,2016,Summer,69
Canada-1,1956,Winter,2
Canada-1,1960,Winter,2
Canada-1,1964,Winter,6
Canada-1,1988,Winter,2
Canada-1,1992,Winter,2
Canada-1,1994,Winter,2
Canada-1,1996,Summer,2
Canada-1,1998,Winter,2
Canada-1,2002,Winter,2
Canada-1,2006,Winter,2
Canada-1,2010,Winter,8
Canada-1,2014,Winter,4
Canada-2,2010,Winter,2
Caprice,1932,Summer,4
Carabinier-15,1900,Summer,1
"Central Turnverein, Chicago",1904,Summer,6
Century Boat Club-1,1904,Summer,4
Cercle de l'Aviron Roubaix-4,1900,Summer,5
Chicago Athletic Association,1904,Summer,5
Chicago Athletic Association-2,1904,Summer,11
Chile,1928,Summer,1
Chile,1952,Summer,4
Chile,1956,Summer,4
Chile,1988,Summer,1
Chile,2000,Summer,17
Chile,2004,Summer,4
Chile,2008,Summer,1
China,1984,Summer,74
China,1988,Summer,50
China,1992,Summer,70
China,1992,Winter,3
China,1994,Winter,3
China,1996,Summer,94
China,1998,Winter,14
China,2000,Summer,65
China,2002,Winter,14
China,2004,Summer,82
China,2006,Winter,9
China,2008,Summer,170
China,2010,Winter,15
China,2012,Summer,117
China,2014,Winter,12
China,2016,Summer,109
China-1,1988,Summer,2
China-1,1992,Summer,6
China-1,1996,Summer,4
China-1,2000,Summer,6
China-1,2002,Winter,2
China-1,2004,Summer,8
China-1,2006,Winter,2
China-1,2008,Summer,10
China-1,2010,Winter,2
China-1,2012,Summer,6
China-1,2016,Summer,4
China-2,1992,Summer,6
China-2,1996,Summer,8
China-2,2000,Summer,8
China-2,2004,Summer,4
China-2,2008,Summer,4
China-2,2010,Winter,2
China-2,2012,Summer,2
China-3,2006,Winter,2
Chinese Taipei,1960,Summer,1
Chinese Taipei,1968,Summer,1
Chinese Taipei,1984,Summer,1
Chinese Taipei,1992,Summer,20
Chinese Taipei,1996,Summer,1
Chinese Taipei,2000,Summer,5
Chinese Taipei,2004,Summer,9
Chinese Taipei,2008,Summer,4
Chinese Taipei,2012,Summer,2
Chinese Taipei,2016,Summer,5
Christian Brothers' College-1,1904,Summer,11
Chuckles,1956,Summer,2
Cicely-1,1900,Summer,1
Cincinnati Archers,1904,Summer,8
Clearwater,2008,Summer,1
Club Nautique de Lyon-2,1900,Summer,4
Cobweb-1,1908,Summer,5
Colombia,1972,Summer,3
Colombia,1984,Summer,1
Colombia,1988,Summer,1
Colombia,1992,Summer,1
Colombia,2000,Summer,1
Colombia,2004,Summer,2
Colombia,2008,Summer,2
Colombia,2012,Summer,8
Colombia,2016,Summer,8
Comanche,1952,Summer,2
Complex II,1952,Summer,4
Cornwall,1908,Summer,15
Costa Rica,1988,Summer,1
Costa Rica,1996,Summer,1
Costa Rica,2000,Summer,2
Cote d'Ivoire,1984,Summer,1
Cote d'Ivoire,2016,Summer,2
Crabe II-1,1900,Summer,5
Crabe II-4,1900,Summer,5
Croatia,1992,Summer,15
Croatia,1996,Summer,28
Croatia,2000,Summer,10
Croatia,2002,Winter,4
Croatia,2004,Summer,21
Croatia,2006,Winter,3
Croatia,2008,Summer,5
Croatia,2010,Winter,3
Croatia,2012,Summer,35
Croatia,2014,Winter,1
Croatia,2016,Summer,24
Cuba,1900,Summer,2
Cuba,1904,Summer,5
Cuba,1964,Summer,1
Cuba,1968,Summer,10
Cuba,1972,Summer,22
Cuba,1976,Summer,24
Cuba,1980,Summer,20
Cuba,1992,Summer,69
Cuba,1996,Summer,55
Cuba,2000,Summer,65
Cuba,2004,Summer,62
Cuba,2008,Summer,47
Cuba,2012,Summer,14
Cuba,2016,Summer,11
Cyprus,2012,Summer,1
Czech Republic,1996,Summer,11
Czech Republic,1998,Winter,23
Czech Republic,2000,Summer,7
Czech Republic,2002,Winter,3
Czech Republic,2004,Summer,11
Czech Republic,2006,Winter,27
Czech Republic,2008,Summer,7
Czech Republic,2010,Winter,9
Czech Republic,2012,Summer,12
Czech Republic,2014,Winter,11
Czech Republic,2016,Summer,13
Czech Republic-1,1996,Summer,2
Czech Republic-1,2000,Summer,2
Czech Republic-1,2004,Summer,2
Czech Republic-1,2012,Summer,2
Czech Republic-1,2016,Summer,2
Czechoslovakia,1920,Summer,10
Czechoslovakia,1924,Summer,10
Czechoslovakia,1928,Summer,16
Czechoslovakia,1928,Winter,1
Czechoslovakia,1932,Summer,6
Czechoslovakia,1936,Summer,18
Czechoslovakia,1948,Summer,20
Czechoslovakia,1948,Winter,17
Czechoslovakia,1952,Summer,25
Czechoslovakia,1956,Summer,7
Czechoslovakia,1960,Summer,22
Czechoslovakia,1960,Winter,1
Czechoslovakia,1964,Summer,54
Czechoslovakia,1964,Winter,17
Czechoslovakia,1968,Summer,29
Czechoslovakia,1968,Winter,21
Czechoslovakia,1972,Summer,29
Czechoslovakia,1972,Winter,20
Czechoslovakia,1976,Summer,15
Czechoslovakia,1976,Winter,19
Czechoslovakia,1980,Summer,51
Czechoslovakia,1980,Winter,1
Czechoslovakia,1984,Winter,28
Czechoslovakia,1988,Summer,10
Czechoslovakia,1988,Winter,6
Czechoslovakia,1992,Summer,6
Czechoslovakia,1992,Winter,27
Czechoslovakia-1,1992,Summer,2
Denmark,1896,Summer,6
Denmark,1900,Summer,6
Denmark,1906,Summer,34
Denmark,1908,Summer,17
Denmark,1912,Summer,74
Denmark,1920,Summer,71
Denmark,1924,Summer,11
Denmark,1928,Summer,11
Denmark,1932,Summer,11
Denmark,1936,Summer,6
Denmark,1948,Summer,48
Denmark,1952,Summer,9
Denmark,1956,Summer,3
Denmark,1960,Summer,18
Denmark,1964,Summer,9
Denmark,1968,Summer,17
Denmark,1972,Summer,1
Denmark,1976,Summer,8
Denmark,1980,Summer,8
Denmark,1984,Summer,13
Denmark,1988,Summer,7
Denmark,1992,Summer,14
Denmark,1996,Summer,23
Denmark,1998,Winter,5
Denmark,2000,Summer,25
Denmark,2004,Summer,27
Denmark,2008,Summer,16
Denmark,2012,Summer,14
Denmark,2016,Summer,41
Denmark-1,2012,Summer,2
Denmark-2,2004,Summer,2
Denmark/Sweden,1900,Summer,6
Deutscher Schwimm Verband Berlin,1900,Summer,4
Devon and Somerset Wanderers,1900,Summer,12
Digby,2008,Summer,1
Djibouti,1988,Summer,1
Djinn,1948,Summer,5
Dominican Republic,1984,Summer,1
Dominican Republic,2004,Summer,1
Dominican Republic,2008,Summer,2
Dominican Republic,2012,Summer,2
Dominican Republic,2016,Summer,1
Don Schufro,2008,Summer,1
Dormy-1,1908,Summer,3
East Germany,1968,Summer,52
East Germany,1968,Winter,4
East Germany,1972,Summer,149
East Germany,1972,Winter,14
East Germany,1976,Summer,195
East Germany,1976,Winter,20
East Germany,1980,Summer,264
East Germany,1980,Winter,23
East Germany,1984,Winter,19
East Germany,1988,Summer,181
East Germany,1988,Winter,20
East Germany-1,1968,Winter,2
East Germany-1,1972,Summer,2
East Germany-1,1972,Winter,4
East Germany-1,1976,Winter,8
East Germany-1,1980,Winter,10
East Germany-1,1984,Winter,8
East Germany-1,1988,Winter,8
East Germany-2,1972,Winter,2
East Germany-2,1976,Winter,4
East Germany-2,1980,Winter,6
East Germany-2,1984,Winter,6
East Germany-2,1988,Winter,4
Ecuador,1996,Summer,1
Ecuador,2008,Summer,1
Edelweiss II-1,1920,Summer,3
Egypt,1928,Summer,4
Egypt,1936,Summer,5
Egypt,1948,Summer,5
Egypt,1952,Summer,1
Egypt,1984,Summer,1
Egypt,2004,Summer,5
Egypt,2008,Summer,1
Egypt,2012,Summer,2
Egypt,2016,Summer,3
Eleda,1920,Summer,7
Elisabeth V,1924,Summer,3
Elisabeth X,1952,Summer,5
Elsie,1920,Summer,4
Elvis Va,2008,Summer,1
Emily,1924,Summer,5
Encore,1952,Summer,3
England,1912,Summer,1
England-1,1908,Summer,11
England-1,1912,Summer,12
Eritrea,2004,Summer,1
Erna Signe,1912,Summer,10
Espadarte,1952,Summer,2
Esterel-1,1900,Summer,2
Estonia,1920,Summer,3
Estonia,1924,Summer,6
Estonia,1928,Summer,4
Estonia,1936,Summer,7
Estonia,1992,Summer,3
Estonia,2000,Summer,3
Estonia,2002,Winter,3
Estonia,2004,Summer,3
Estonia,2006,Winter,3
Estonia,2008,Summer,3
Estonia,2010,Winter,1
Estonia,2012,Summer,2
Estonia,2016,Summer,4
Ethiopia,1960,Summer,1
Ethiopia,1964,Summer,1
Ethiopia,1968,Summer,2
Ethiopia,1972,Summer,2
Ethiopia,1980,Summer,4
Ethiopia,1992,Summer,3
Ethiopia,1996,Summer,3
Ethiopia,2000,Summer,8
Ethiopia,2004,Summer,7
Ethiopia,2008,Summer,7
Ethiopia,2012,Summer,7
Ethiopia,2016,Summer,8
Ethnikos Gymnastikos Syllogos,1896,Summer,2
Falcon IV,1956,Summer,2
Fantlet-7,1900,Summer,1
Favorite Hammonia-3,1900,Summer,6
Favorite-1,1900,Summer,8
Femur-1,1900,Summer,1
Fiji,2016,Summer,13
Finland,1906,Summer,4
Finland,1908,Summer,30
Finland,1912,Summer,52
Finland,1920,Summer,52
Finland,1924,Summer,52
Finland,1924,Winter,15
Finland,1928,Summer,25
Finland,1928,Winter,4
Finland,1932,Summer,29
Finland,1932,Winter,3
Finland,1936,Summer,27
Finland,1936,Winter,9
Finland,1948,Summer,33
Finland,1948,Winter,9
Finland,1952,Summer,35
Finland,1952,Winter,12
Finland,1956,Summer,26
Finland,1956,Winter,12
Finland,1960,Summer,6
Finland,1960,Winter,13
Finland,1964,Summer,5
Finland,1964,Winter,15
Finland,1968,Summer,4
Finland,1968,Winter,8
Finland,1972,Summer,10
Finland,1972,Winter,10
Finland,1976,Summer,6
Finland,1976,Winter,16
Finland,1980,Summer,9
Finland,1980,Winter,12
Finland,1984,Summer,12
Finland,1984,Winter,19
Finland,1988,Summer,4
Finland,1988,Winter,34
Finland,1992,Summer,7
Finland,1992,Winter,13
Finland,1994,Winter,30
Finland,1996,Summer,4
Finland,1998,Winter,58
Finland,2000,Summer,5
Finland,2002,Winter,13
Finland,2004,Summer,2
Finland,2006,Winter,41
Finland,2008,Summer,5
Finland,2010,Winter,47
Finland,2012,Summer,5
Finland,2014,Winter,33
Finland,2016,Summer,1
Formosa,1900,Summer,1
Fornebo,1920,Summer,4
Foxhunters Hurlingham,1900,Summer,5
France,1896,Summer,11
France,1900,Summer,75
France,1904,Summer,1
France,1906,Summer,45
France,1908,Summer,36
France,1912,Summer,23
France,1920,Summer,134
France,1924,Summer,101
France,1924,Winter,8
France,1928,Summer,44
France,1928,Winter,2
France,1932,Summer,40
France,1932,Winter,2
France,1936,Summer,44
France,1936,Winter,1
France,1948,Summer,72
France,1948,Winter,5
France,1952,Summer,40
France,1952,Winter,1
France,1956,Summer,33
France,1960,Summer,12
France,1960,Winter,3
France,1964,Summer,31
France,1964,Winter,7
France,1968,Summer,27
France,1968,Winter,9
France,1972,Summer,22
France,1972,Winter,3
France,1976,Summer,20
France,1976,Winter,1
France,1980,Summer,29
France,1980,Winter,1
France,1984,Summer,67
France,1984,Winter,3
France,1988,Summer,29
France,1988,Winter,2
France,1992,Summer,55
France,1992,Winter,10
France,1994,Winter,11
France,1996,Summer,49
France,1998,Winter,13
France,2000,Summer,64
France,2002,Winter,13
France,2004,Summer,53
France,2006,Winter,15
France,2008,Summer,77
France,2010,Winter,14
France,2012,Summer,78
France,2014,Winter,18
France,2016,Summer,96
France-1,1900,Summer,4
France-1,1924,Summer,2
France-1,1924,Winter,2
France-1,1992,Summer,2
France-1,1992,Winter,2
France-1,1996,Summer,2
France-1,1998,Winter,2
France-1,2000,Summer,2
France-1,2002,Winter,2
France-1,2012,Summer,2
France-2,1924,Summer,2
France-2,2012,Summer,2
France-3,1920,Summer,4
France/Great Britain,1900,Summer,2
Frankfurt Club,1900,Summer,15
Frimousse,1900,Summer,1
Gabon,2012,Summer,1
Gallant,1932,Summer,5
Gallia II,1912,Summer,7
Galt Football Club,1904,Summer,13
Gem,1964,Summer,2
Gem IV,1956,Summer,2
Georgia,1996,Summer,2
Georgia,2000,Summer,6
Georgia,2004,Summer,4
Georgia,2008,Summer,6
Georgia,2012,Summer,7
Georgia,2016,Summer,7
Germania II,1936,Summer,6
"Germania Ruder Club, Hamburg-2",1900,Summer,5
Germany,1896,Summer,31
Germany,1900,Summer,2
Germany,1904,Summer,15
Germany,1906,Summer,30
Germany,1908,Summer,19
Germany,1912,Summer,39
Germany,1928,Summer,77
Germany,1932,Summer,43
Germany,1932,Winter,10
Germany,1936,Summer,215
Germany,1936,Winter,5
Germany,1952,Summer,37
Germany,1952,Winter,8
Germany,1956,Summer,52
Germany,1956,Winter,2
Germany,1960,Summer,86
Germany,1960,Winter,7
Germany,1964,Summer,113
Germany,1964,Winter,8
Germany,1992,Summer,198
Germany,1992,Winter,26
Germany,1994,Winter,30
Germany,1996,Summer,122
Germany,1998,Winter,34
Germany,2000,Summer,116
Germany,2002,Winter,49
Germany,2004,Summer,147
Germany,2006,Winter,44
Germany,2008,Summer,96
Germany,2010,Winter,42
Germany,2012,Summer,92
Germany,2014,Winter,32
Germany,2016,Summer,157
Germany-1,1932,Winter,4
Germany-1,1936,Winter,2
Germany-1,1952,Winter,4
Germany-1,1960,Winter,2
Germany-1,1964,Winter,2
Germany-1,1992,Winter,8
Germany-1,1994,Winter,6
Germany-1,1996,Summer,2
Germany-1,1998,Winter,6
Germany-1,2000,Summer,2
Germany-1,2002,Winter,4
Germany-1,2004,Summer,2
Germany-1,2006,Winter,10
Germany-1,2010,Winter,8
Germany-1,2012,Summer,2
Germany-1,2014,Winter,4
Germany-1,2016,Summer,2
Germany-2,1928,Winter,5
Germany-2,1992,Winter,4
Germany-2,1994,Winter,4
Germany-2,1998,Winter,4
Germany-2,2002,Winter,8
Germany-2,2010,Winter,4
Ghana,1960,Summer,1
Ghana,1964,Summer,1
Ghana,1972,Summer,1
Ghana,1992,Summer,20
Gitana-2,1900,Summer,10
Glider,1964,Summer,2
Great Britain,1896,Summer,7
Great Britain,1900,Summer,22
Great Britain,1904,Summer,2
Great Britain,1906,Summer,31
Great Britain,1908,Summer,167
Great Britain,1912,Summer,128
Great Britain,1920,Summer,101
Great Britain,1924,Summer,55
Great Britain,1924,Winter,27
Great Britain,1928,Summer,58
Great Britain,1928,Winter,1
Great Britain,1932,Summer,33
Great Britain,1936,Summer,30
Great Britain,1936,Winter,17
Great Britain,1948,Summer,59
Great Britain,1948,Winter,2
Great Britain,1952,Summer,31
Great Britain,1952,Winter,1
Great Britain,1956,Summer,37
Great Britain,1960,Summer,28
Great Britain,1964,Summer,26
Great Britain,1968,Summer,19
Great Britain,1972,Summer,29
Great Britain,1976,Summer,32
Great Britain,1976,Winter,1
Great Britain,1980,Summer,47
Great Britain,1980,Winter,1
Great Britain,1984,Summer,71
Great Britain,1988,Summer,54
Great Britain,1992,Summer,50
Great Britain,1994,Winter,3
Great Britain,1996,Summer,26
Great Britain,1998,Winter,4
Great Britain,2000,Summer,52
Great Britain,2002,Winter,6
Great Britain,2004,Summer,55
Great Britain,2006,Winter,1
Great Britain,2008,Summer,81
Great Britain,2010,Winter,1
Great Britain,2012,Summer,122
Great Britain,2014,Winter,10
Great Britain,2016,Summer,145
Great Britain-1,1900,Summer,2
Great Britain-1,1908,Summer,14
Great Britain-1,1912,Summer,2
Great Britain-1,1920,Summer,2
Great Britain-1,1924,Summer,2
Great Britain-1,1924,Winter,4
Great Britain-1,1964,Winter,2
Great Britain-1,1984,Winter,2
Great Britain-1,2004,Summer,2
Great Britain-1,2012,Summer,2
Great Britain-2,1900,Summer,2
Great Britain-2,1908,Summer,14
Great Britain-2,1912,Summer,4
Great Britain-2,1920,Summer,2
Great Britain-2,1924,Summer,2
Great Britain-2,2000,Summer,2
Great Britain-2,2012,Summer,2
Great Britain-3,1908,Summer,4
Great Britain-3,1920,Summer,2
Great Britain/Germany,1896,Summer,2
Greece,1896,Summer,44
Greece,1904,Summer,2
Greece,1906,Summer,28
Greece,1908,Summer,4
Greece,1912,Summer,2
Greece,1920,Summer,5
Greece,1924,Summer,1
Greece,1956,Summer,1
Greece,1968,Summer,1
Greece,1972,Summer,2
Greece,1980,Summer,5
Greece,1984,Summer,2
Greece,1988,Summer,1
Greece,1992,Summer,2
Greece,1996,Summer,8
Greece,2000,Summer,18
Greece,2004,Summer,31
Greece,2008,Summer,7
Greece,2012,Summer,3
Greece,2016,Summer,7
Greece-1,1896,Summer,2
Greece-1,1906,Summer,4
Greece-2,1906,Summer,2
Grenada,2012,Summer,1
Grenada,2016,Summer,1
Guatemala,2012,Summer,1
Gustel X,1952,Summer,3
Guyana,1980,Summer,1
Guyoni,1908,Summer,3
Gwendoline-2,1900,Summer,3
Gyrinus-1,1908,Summer,6
Haiti,1924,Summer,5
Haiti,1928,Summer,1
Heatherbell,1912,Summer,7
Heira II,1920,Summer,9
Hera-1,1908,Summer,10
Heroine,1908,Summer,4
Hi-Hi,1928,Summer,4
Hilarius,1948,Summer,2
Hojwa,1952,Summer,3
Hollandia,1928,Summer,6
Hong Kong,1996,Summer,1
Hong Kong,2012,Summer,1
Hong Kong-2,2004,Summer,2
Humbug V,1964,Summer,2
Hungary,1896,Summer,6
Hungary,1900,Summer,5
Hungary,1904,Summer,4
Hungary,1906,Summer,13
Hungary,1908,Summer,20
Hungary,1912,Summer,30
Hungary,1924,Summer,22
Hungary,1928,Summer,21
Hungary,1932,Summer,33
Hungary,1936,Summer,41
Hungary,1948,Summer,62
Hungary,1952,Summer,102
Hungary,1956,Summer,64
Hungary,1956,Winter,2
Hungary,1960,Summer,66
Hungary,1964,Summer,56
Hungary,1968,Summer,81
Hungary,1972,Summer,81
Hungary,1976,Summer,55
Hungary,1980,Summer,61
Hungary,1980,Winter,2
Hungary,1988,Summer,44
Hungary,1992,Summer,45
Hungary,1996,Summer,43
Hungary,2000,Summer,53
Hungary,2004,Summer,40
Hungary,2008,Summer,27
Hungary,2012,Summer,26
